timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260420_184414,,8,,,20,
20260420_184414,True,,,,20,
20260420_184415,True,,,,20,
20260420_184415,True,,,,20,
20260420_184416,True,,,,20,
20260420_184417,,,set,11,20,
20260420_184417,True,,,,20,
20260420_184417,True,,,,20,
20260420_184418,True,,,,20,
20260420_184420,,4,,,20,
20260420_184423,,,warn,27,20,
20260420_184425,True,,,,20,
20260420_184425,True,,,,20,
20260420_184426,True,,,,20,
20260420_184426,True,,,,20,
20260420_184426,,8,,,20,
20260420_184427,True,,,,20,
20260420_184430,,,ret,21,20,
20260420_184433,,8,,,20,
20260420_184436,True,,,,20,
20260420_184436,True,,,,20,
20260420_184437,True,,,,20,
20260420_184439,,,hul,21,20,
20260420_184444,True,,,,21,
20260420_184445,True,,,,21,
20260420_184445,True,,,,21,
20260420_184446,True,,,,21,
20260420_184447,,,gang,27,21,
20260420_184450,True,,,,21,
20260420_184450,True,,,,21,
20260420_184450,True,,,,21,
20260420_184451,,7,,,21,
20260420_184454,,,how,21,21,
20260420_184457,,4,,,21,
20260420_184459,True,,,,21,
20260420_184459,True,,,,21,
20260420_184500,True,,,,21,
20260420_184500,True,,,,21,
20260420_184501,True,,,,21,
20260420_184502,True,,,,21,
20260420_184502,True,,,,21,
20260420_184503,True,,,,21,
20260420_184504,True,,,,21,
20260420_184505,True,,,,21,
20260420_184506,True,,,,21,
20260420_184507,True,,,,21,
20260420_184508,True,,,,21,
20260420_184509,,,swit,61,21,
20260420_184511,True,,,,21,
20260420_184511,True,,,,21,
20260420_184512,,7,,,21,
20260420_184512,True,,,,21,
20260420_184513,True,,,,21,
20260420_184513,True,,,,21,
20260420_184515,,,ok,15,21,
20260420_184520,True,,,,22,
20260420_184520,True,,,,22,
20260420_184520,True,,,,22,
20260420_184521,True,,,,22,
20260420_184525,True,,,,22,
20260420_184526,True,,,,22,
20260420_184526,True,,,,22,
20260420_184526,True,,,,22,
20260420_184527,True,,,,22,
20260420_184529,True,,,,22,
20260420_184529,True,,,,22,
20260420_184530,True,,,,22,
20260420_184530,True,,,,22,
20260420_184531,,,hope,27,22,
20260420_184534,True,,,,22,
20260420_184534,True,,,,22,
20260420_184534,,9,,,22,
20260420_184535,True,,,,22,
20260420_184535,True,,,,22,
20260420_184537,,,heel,34,22,
20260420_184539,True,,,,22,
20260420_184539,True,,,,22,
20260420_184541,True,,,,22,
20260420_184542,True,,,,22,
20260420_184544,,,dunt,27,22,
20260420_184547,,9,,,22,
20260420_184548,True,,,,22,
20260420_184549,True,,,,22,
20260420_184549,True,,,,22,
20260420_184549,True,,,,22,
20260420_184551,,,mart,54,22,
20260420_184553,True,,,,23,
20260420_184553,True,,,,23,
20260420_184553,True,,,,23,
20260420_184554,True,,,,23,
20260420_184554,True,,,,23,
20260420_184558,,,dex,45,23,
20260420_184600,True,,,,23,
20260420_184600,True,,,,23,
20260420_184601,True,,,,23,
20260420_184601,,9,,,23,
20260420_184604,,,zum,23,23,
20260420_184608,,9,,,23,
20260420_184609,True,,,,23,
20260420_184610,True,,,,23,
20260420_184610,True,,,,23,
20260420_184610,True,,,,23,
20260420_184611,True,,,,23,
